First Name,Last Name,Department,Subdepartment,Title,Reports To,Site,Login,EmailAddress,Office Location,Office Local Phone,Employee ID
Gwen,Stefani,SMD,Front of House,Hostess,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220067
Gene,Simmons,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220068
Paul,Stanley,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220069
Jerry,Garcia,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220070
Otis,Redding,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220071
Neil,Young,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220072
Steven,Tyler,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220073
Tina,Turner,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220074
Stevie,Nicks,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220075
Roger,Daltrey,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220076
Sid,Vicious,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220077
Sinead,O'Connor,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220078
The,Edge,SMD,Back of House,Sous Chef,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220079
Tom,Petty,SMD,Back of House,Sous Chef,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220080
Van,Morrison,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220081
Joan,Jett,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220082
John,Fogerty,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220083
John,Lennon,SMD,Back of House,Warewasher,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220084
Janis,Joplin,SMD,Back of House,Warewasher,Restaurant Manager,Sunny's Modern Diner,,,N/A,N/A,20220085
Jacques,Lennon,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220086
Peter,Gabriel,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220087
Carlos,Santana,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220088
Buddy,Holly,TOT,Front of House,Hostess,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220089
Ma,Donna,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220090
Don,Henley,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220091
Eddie,Van Halen,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220092
James,Lennon,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220093
Mick,Jagger,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220094
Liam,Gallagher,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220095
Frank,Zappa,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220096
Dwayne ,Johnson,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220097
Adam,Sandler,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220098
Tom,Hanks,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220099
David Lee,Roth,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220100
Mickey,Dolenz,TOT,Back of House,Sous Chef,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220101
Peter,Tork,TOT,Back of House,Sous Chef,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220102
Davy,Jones,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220103
Michael,Nesmith,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220104
Keith,Richards,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220105
Stevie,Wonder,TOT,Back of House,Warewasher,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220106
Jennifer,Lennon,TOT,Back of House,Warewasher,Restaurant Manager,The Okanagan Table,,,N/A,N/A,20220107
